Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,715.000000,726.849976,702.599976,707.250000,707.250000,1697751
2022-02-25,727.000000,739.000000,720.599976,730.450012,730.450012,471846
2022-02-28,728.000000,744.000000,715.349976,742.450012,742.450012,508844
2022-03-02,717.950012,722.349976,708.000000,714.700012,714.700012,822931
2022-03-03,717.950012,721.799988,693.650024,698.299988,698.299988,629867
2022-03-04,692.000000,706.500000,685.049988,688.200012,688.200012,980589
2022-03-07,661.200012,666.549988,642.000000,652.349976,652.349976,1805891
2022-03-08,645.000000,669.150024,643.250000,664.950012,664.950012,849330
2022-03-09,665.299988,674.599976,658.150024,667.150024,667.150024,1088989
2022-03-10,698.000000,701.000000,674.000000,676.549988,676.549988,1074611
2022-03-11,675.000000,684.700012,670.799988,678.049988,678.049988,638173
2022-03-14,679.450012,698.299988,677.599976,696.099976,696.099976,638785
2022-03-15,701.799988,708.049988,688.099976,697.349976,697.349976,764547
2022-03-16,707.400024,711.349976,701.200012,708.049988,708.049988,586650
2022-03-17,720.000000,724.799988,715.799988,719.950012,719.950012,653249
2022-03-21,721.000000,722.349976,705.750000,710.599976,710.599976,283881
2022-03-22,708.799988,720.849976,699.650024,718.750000,718.750000,268486
2022-03-23,724.049988,727.000000,714.400024,718.200012,718.200012,424230
2022-03-24,705.000000,712.349976,699.000000,704.299988,704.299988,391481
2022-03-25,708.000000,708.000000,696.950012,699.150024,699.150024,571428
2022-03-28,700.000000,713.250000,695.750000,710.250000,710.250000,428923
2022-03-29,713.500000,716.900024,705.900024,715.250000,715.250000,210557
2022-03-30,719.000000,731.700012,719.000000,730.049988,730.049988,218848
2022-03-31,737.500000,737.750000,727.900024,730.250000,730.250000,167676
2022-04-01,726.400024,738.000000,724.099976,736.500000,736.500000,264048
2022-04-04,742.000000,749.700012,725.500000,746.450012,746.450012,733772
2022-04-05,747.500000,755.250000,738.000000,742.150024,742.150024,495427
2022-04-06,731.099976,744.900024,731.099976,740.750000,740.750000,634197
2022-04-07,738.000000,757.799988,737.950012,749.049988,749.049988,355919
2022-04-08,751.000000,756.000000,743.500000,754.349976,754.349976,613823
2022-04-11,753.900024,765.349976,751.549988,759.700012,759.700012,782647
2022-04-12,758.500000,768.750000,750.099976,764.150024,764.150024,725708
2022-04-13,770.000000,772.500000,760.950012,762.349976,762.349976,636135
2022-04-18,749.000000,762.549988,749.000000,758.750000,758.750000,493918
2022-04-19,760.000000,777.950012,756.849976,766.650024,766.650024,917481
2022-04-20,766.500000,769.700012,753.650024,755.549988,755.549988,928981
2022-04-21,758.750000,763.950012,751.349976,762.250000,762.250000,271780
2022-04-22,757.099976,757.849976,746.000000,747.349976,747.349976,531518
2022-04-25,748.000000,762.200012,745.000000,752.799988,752.799988,853818
2022-04-26,767.400024,768.000000,751.500000,753.700012,753.700012,623356
2022-04-27,749.450012,749.750000,732.599976,737.049988,737.049988,481762
2022-04-28,742.000000,752.000000,734.450012,747.299988,747.299988,503396
2022-04-29,750.000000,759.750000,740.500000,743.549988,743.549988,678351
2022-05-02,732.000000,743.549988,732.000000,741.000000,741.000000,222622
2022-05-04,747.000000,747.000000,721.000000,723.900024,723.900024,5542881
2022-05-05,730.000000,742.950012,726.799988,728.599976,728.599976,188734
2022-05-06,717.799988,722.599976,710.450012,719.599976,719.599976,188209
2022-05-09,706.000000,720.000000,704.750000,710.299988,710.299988,305931
2022-05-10,705.799988,720.000000,705.799988,711.250000,711.250000,875011
2022-05-11,719.500000,719.500000,707.349976,714.150024,714.150024,151024
2022-05-12,708.950012,710.500000,693.599976,695.900024,695.900024,246351
2022-05-13,702.000000,703.150024,675.000000,677.450012,677.450012,419361
2022-05-16,677.000000,690.900024,675.599976,683.200012,683.200012,209468
2022-05-17,685.250000,711.950012,685.250000,710.349976,710.349976,341897
2022-05-18,711.349976,717.200012,706.150024,707.049988,707.049988,179803
2022-05-19,690.150024,698.599976,685.799988,690.299988,690.299988,383552
2022-05-20,695.000000,711.849976,694.049988,709.549988,709.549988,322250
2022-05-23,709.000000,725.750000,708.200012,711.049988,711.049988,498999
2022-05-24,707.000000,717.000000,706.000000,708.099976,708.099976,409348
2022-05-25,712.000000,720.900024,711.799988,713.450012,713.450012,237573
2022-05-26,721.000000,732.599976,715.400024,729.150024,729.150024,565229
2022-05-27,732.000000,741.000000,731.250000,739.750000,739.750000,461497
2022-05-30,748.799988,751.900024,744.299988,748.450012,748.450012,129293
2022-05-31,739.500000,756.599976,739.500000,751.500000,751.500000,154142
2022-06-01,746.200012,755.099976,744.299988,752.700012,752.700012,120781
2022-06-02,752.000000,752.049988,743.150024,750.000000,750.000000,191837
2022-06-03,753.500000,757.200012,741.000000,743.599976,743.599976,252091
2022-06-06,738.900024,750.950012,738.900024,746.900024,746.900024,212723
2022-06-07,743.500000,743.500000,732.400024,735.250000,735.250000,216167
2022-06-08,737.000000,741.049988,726.549988,729.500000,729.500000,358176
2022-06-09,722.349976,733.900024,722.349976,732.950012,732.950012,271032
2022-06-10,726.400024,728.500000,718.099976,720.099976,720.099976,174616
2022-06-13,701.250000,703.150024,682.349976,688.000000,688.000000,846092
2022-06-14,682.000000,694.599976,680.299988,685.750000,685.750000,400779
2022-06-15,685.750000,696.250000,685.750000,687.299988,687.299988,410964
2022-06-16,695.900024,699.750000,676.200012,678.400024,678.400024,589061
2022-06-17,675.000000,692.450012,670.349976,688.099976,688.099976,306427
2022-06-20,686.849976,687.650024,677.650024,685.400024,685.400024,364943
2022-06-21,688.000000,707.950012,688.000000,696.150024,696.150024,283483
2022-06-22,690.349976,696.400024,685.200012,686.700012,686.700012,241873
2022-06-23,690.000000,706.000000,686.950012,699.500000,699.500000,318697
2022-06-24,709.900024,715.299988,706.799988,713.650024,713.650024,442229
2022-06-27,727.549988,727.549988,716.000000,717.299988,717.299988,220139
2022-06-28,710.099976,717.150024,707.150024,710.000000,710.000000,109476
2022-06-29,704.099976,706.500000,701.299988,702.950012,702.950012,154486
2022-06-30,702.950012,711.849976,702.000000,706.849976,706.849976,317901
2022-07-01,702.000000,706.450012,694.299988,704.000000,704.000000,216981
2022-07-04,704.000000,721.099976,704.000000,719.849976,719.849976,282888
2022-07-05,721.500000,732.000000,718.000000,719.450012,719.450012,212037
2022-07-06,720.500000,731.799988,720.500000,726.049988,726.049988,253775
2022-07-07,735.200012,743.500000,733.150024,741.950012,741.950012,311893
2022-07-08,750.000000,757.500000,745.549988,755.650024,755.650024,186092
2022-07-11,755.500000,771.400024,754.099976,769.450012,769.450012,164181
2022-07-12,765.599976,767.700012,757.549988,759.849976,759.849976,190653
2022-07-13,766.400024,766.400024,740.000000,753.099976,753.099976,112384
2022-07-14,751.000000,759.099976,748.950012,752.349976,752.349976,70324
2022-07-15,751.650024,758.599976,744.150024,751.099976,751.099976,72762
